Year,Age,Sex,Immigrations,Emigrations,Migration_balance,MaleBirths,FemaleBirths,TotalBirths,Deaths,Population,GDP_per_capita,Health_expenditure_pct_GDP,Unemployment
1956,46,Female,0.0,0.0,0.0,0.0,0.0,0.0,2117.0,0.0,,,
1956,46,Male,0.0,0.0,0.0,0.0,0.0,0.0,2390.0,0.0,,,
1956,47,Female,0.0,0.0,0.0,0.0,0.0,0.0,2315.0,0.0,,,
1956,47,Male,0.0,0.0,0.0,0.0,0.0,0.0,2699.0,0.0,,,
1956,48,Female,0.0,0.0,0.0,0.0,0.0,0.0,2496.0,0.0,,,
1956,48,Male,0.0,0.0,0.0,0.0,0.0,0.0,2967.0,0.0,,,
1956,49,Female,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.0,,,
1956,49,Male,0.0,0.0,0.0,0.0,0.0,0.0,3276.0,0.0,,,
1956,50,Female,0.0,0.0,0.0,0.0,0.0,0.0,2821.0,0.0,,,
1956,50,Male,0.0,0.0,0.0,0.0,0.0,0.0,3721.0,0.0,,,
1956,51,Female,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,0.0,,,
1956,51,Male,0.0,0.0,0.0,0.0,0.0,0.0,4267.0,0.0,,,
1956,52,Female,0.0,0.0,0.0,0.0,0.0,0.0,3204.0,0.0,,,
1956,52,Male,0.0,0.0,0.0,0.0,0.0,0.0,4719.0,0.0,,,
1956,53,Female,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,,,
1956,53,Male,0.0,0.0,0.0,0.0,0.0,0.0,5117.0,0.0,,,
1956,54,Female,0.0,0.0,0.0,0.0,0.0,0.0,3734.0,0.0,,,
1956,54,Male,0.0,0.0,0.0,0.0,0.0,0.0,5753.0,0.0,,,
1956,55,Female,0.0,0.0,0.0,0.0,0.0,0.0,4008.0,0.0,,,
1956,55,Male,0.0,0.0,0.0,0.0,0.0,0.0,6135.0,0.0,,,
1956,56,Female,0.0,0.0,0.0,0.0,0.0,0.0,4169.0,0.0,,,
1956,56,Male,0.0,0.0,0.0,0.0,0.0,0.0,6565.0,0.0,,,
1956,57,Female,0.0,0.0,0.0,0.0,0.0,0.0,4407.0,0.0,,,
1956,57,Male,0.0,0.0,0.0,0.0,0.0,0.0,6780.0,0.0,,,
1956,58,Female,0.0,0.0,0.0,0.0,0.0,0.0,4608.0,0.0,,,
1956,58,Male,0.0,0.0,0.0,0.0,0.0,0.0,6701.0,0.0,,,
1956,59,Female,0.0,0.0,0.0,0.0,0.0,0.0,5069.0,0.0,,,
1956,59,Male,0.0,0.0,0.0,0.0,0.0,0.0,7018.0,0.0,,,
1956,60,Female,0.0,0.0,0.0,0.0,0.0,0.0,5462.0,0.0,,,
1956,60,Male,0.0,0.0,0.0,0.0,0.0,0.0,7108.0,0.0,,,
1956,61,Female,0.0,0.0,0.0,0.0,0.0,0.0,5733.0,0.0,,,
1956,61,Male,0.0,0.0,0.0,0.0,0.0,0.0,7176.0,0.0,,,
1956,62,Female,0.0,0.0,0.0,0.0,0.0,0.0,6431.0,0.0,,,
1956,62,Male,0.0,0.0,0.0,0.0,0.0,0.0,7447.0,0.0,,,
1956,63,Female,0.0,0.0,0.0,0.0,0.0,0.0,6669.0,0.0,,,
1956,63,Male,0.0,0.0,0.0,0.0,0.0,0.0,7718.0,0.0,,,
1956,64,Female,0.0,0.0,0.0,0.0,0.0,0.0,7068.0,0.0,,,
1956,64,Male,0.0,0.0,0.0,0.0,0.0,0.0,8083.0,0.0,,,
1956,65,Female,0.0,0.0,0.0,0.0,0.0,0.0,7746.0,0.0,,,
1956,65,Male,0.0,0.0,0.0,0.0,0.0,0.0,8816.0,0.0,,,
1956,66,Female,0.0,0.0,0.0,0.0,0.0,0.0,8214.0,0.0,,,
1956,66,Male,0.0,0.0,0.0,0.0,0.0,0.0,9005.0,0.0,,,
1956,67,Female,0.0,0.0,0.0,0.0,0.0,0.0,8915.0,0.0,,,
1956,67,Male,0.0,0.0,0.0,0.0,0.0,0.0,9606.0,0.0,,,
1956,68,Female,0.0,0.0,0.0,0.0,0.0,0.0,9709.0,0.0,,,
1956,68,Male,0.0,0.0,0.0,0.0,0.0,0.0,10282.0,0.0,,,
1956,69,Female,0.0,0.0,0.0,0.0,0.0,0.0,10373.0,0.0,,,
